45,3,0.025,0.004
45,4,0.0196,0.0068
45,5,0.0163,0.0085
45,6,0.0147,0.0132
45,7,0.0239,0.0176
45,8,0.0168,0.0215
46,1,0.0506,0.009
46,2,0.011,0.0032
46,3,0.0143,0.0155
46,4,0.0165,0.0106
46,5,0.0182,0.0112
46,6,0.021,0.0122
46,7,0.0576,0.0317
46,8,0.0299,0.0204
47,1,0.035,0.0035
47,2,0.0109,0.0055
47,3,0.0106,0.009
47,4,0.0135,0.0119
47,5,0.0171,0.0093
47,6,0.0141,0.0075
47,7,0.0163,0.0123
47,8,0.0254,0.0156
48,1,0.0316,0.004
48,2,0.0145,0.0031
48,3,0.0136,0.0058
48,4,0.0155,0.0085
48,5,0.0195,0.0117
48,6,0.0112,0.0103
48,7,0.0125,0.0141
48,8,0.0234,0.0205
49,1,0.0324,0.0019
49,2,0.0195,0.0035
49,3,0.0108,0.004
49,4,0.0179,0.014
49,5,0.0152,0.0096
49,6,0.0049,0.0063
49,7,0.0173,0.0133
49,8,0.014,0.0088
50,1,0.0426,0
50,2,0.0155,0.0105
50,3,0.0162,0.0094
50,4,0.0158,0.0135
50,5,0.0173,0.0142
50,6,0.0202,0.0139
50,7,0.0303,0.0172
50,8,0.0255,0.0191
51,1,0.0226,0
51,2,0.0149,0.0047
51,3,0.0273,0.0058
51,4,0.0259,0.0067
51,5,0.02,0.0118
51,6,0.0154,0.0174
51,7,0.018,0.0223
51,8,0.0265,0.0244
53,1,0.0246,0.003
53,2,0.0157,0.0043
53,3,0.0212,0.0047
53,4,0.0223,0.0074
53,5,0.0209,0.0108
53,6,0.0153,0.0128
53,7,0.0192,0.0207
53,8,0.0235,0.0261
54,1,0.0553,0
54,2,0.0206,0.0176
54,3,0.0211,0.0108
54,4,0.0134,0.0154
54,5,0.0159,0.0201
54,6,0.0159,0.0191
54,7,0.0253,0.0204
54,8,0.0198,0.0181
55,1,0.0233,0.0019
55,2,0.0119,0.0036
55,3,0.0167,0.0044
55,4,0.0268,0.0047
55,5,0.0312,0.0157
55,6,0.021,0.0154
55,7,0.0218,0.0248
55,8,0.023,0.0251
56,1,0.0299,0.0044
56,2,0.0147,0.0016
56,3,0.021,0.0034
56,4,0.0197,0.0087
56,5,0.0204,0.0133
56,6,0.0239,0.0206
56,7,0.0333,0.0289
56,8,0.0178,0.0194
